524,00
1.048,00
1.098,00
1.098,00
1.098,00
549,00
1098,00
658,58
720,29
446,65
720,29
493,22
493,22
493,22
493,22
493,22
493,22
506,29
739,83
493,22
493,22
493,22
493,22
535,15
535,15
54,00
535,15
535,15
535,15
535,15
535,14
535,14
535,14
535,14
535,14
535,14
608,56
590,26
141,66
590,26
141,66
590,26
141,66
590,26
141,66
141,66
590,26
590,26
45,30
590,26
590,26
70,83
590,26
70,83
590,26
70,83
70,83
590,26
651,20
651,20
651,20
289,42
108,53
1.013,00
289,42
593,32
289,42
593,32
108,53
651,20
651,20
651,20
1.122,23
651,20
434,13
1.110,00
